DA_DGUID,DA_ID,Municipality,CSD_DGUID,Census_Year,Characteristic_ID,Characteristic_Name,Value,Flag,Topic_ID,Release_Date,Data_Quality_Flag,TNR_SF_Pct,TNR_LF_Pct
2021S051235430649,35430649,Barrie,2021A00053543042,2021,229,Median total household income in 2020,102000,,7,2022-07-13,00000,2.7,0
2021S051235430649,35430649,Barrie,2021A00053543042,2021,237,"Private households income statistics, sample total",145,,7,2022-07-13,00000,2.7,0
2021S051235430649,35430649,Barrie,2021A00053543042,2021,238,Average total household income in 2020,124000,,7,2022-07-13,00000,2.7,0
2021S051235430649,35430649,Barrie,2021A00053543042,2021,1400,"Private households by tenure, total",145,,10,2022-09-21,00000,2.7,0
2021S051235430649,35430649,Barrie,2021A00053543042,2021,1402,Renter households,15,,10,2022-09-21,00000,2.7,0
2021S051235430649,35430649,Barrie,2021A00053543042,2021,2223,Population aged 15+ by labour force status,365,,15,2022-11-30,00000,2.7,0
2021S051235430649,35430649,Barrie,2021A00053543042,2021,2224,Population in the labour force,295,,15,2022-11-30,00000,2.7,0
2021S051235430649,35430649,Barrie,2021A00053543042,2021,2225,Employed population,270,,15,2022-11-30,00000,2.7,0
2021S051235430649,35430649,Barrie,2021A00053543042,2021,2226,Unemployed population,30,,15,2022-11-30,00000,2.7,0
2021S051235430649,35430649,Barrie,2021A00053543042,2021,2228,Participation rate,80.8,,15,2022-11-30,00000,2.7,0
2021S051235430649,35430649,Barrie,2021A00053543042,2021,2229,Employment rate,74,,15,2022-11-30,00000,2.7,0
2021S051235430649,35430649,Barrie,2021A00053543042,2021,2230,Unemployment rate,10.2,,15,2022-11-30,00000,2.7,0
2021S051235430650,35430650,Barrie,2021A00053543042,2021,1,"Population, 2021",643,,1,2022-02-09,00000,0.4,1.8
2021S051235430650,35430650,Barrie,2021A00053543042,2021,6,Population density per square kilometre,3744.9,,1,2022-02-09,00000,0.4,1.8
2021S051235430650,35430650,Barrie,2021A00053543042,2021,7,Land area in square kilometres,0.17,,1,2022-02-09,00000,0.4,1.8
2021S051235430650,35430650,Barrie,2021A00053543042,2021,14,Population aged 15 to 19,25,,2,2022-04-27,00000,0.4,1.8
2021S051235430650,35430650,Barrie,2021A00053543042,2021,15,Population aged 20 to 24,40,,2,2022-04-27,00000,0.4,1.8
2021S051235430650,35430650,Barrie,2021A00053543042,2021,16,Population aged 25 to 29,45,,2,2022-04-27,00000,0.4,1.8
2021S051235430650,35430650,Barrie,2021A00053543042,2021,17,Population aged 30 to 34,45,,2,2022-04-27,00000,0.4,1.8
2021S051235430650,35430650,Barrie,2021A00053543042,2021,41,"Occupied private dwellings by structural type, total",225,,4,2022-04-27,00000,0.4,1.8
2021S051235430650,35430650,Barrie,2021A00053543042,2021,45,Apartment or flat in a duplex,20,,4,2022-04-27,00000,0.4,1.8
2021S051235430650,35430650,Barrie,2021A00053543042,2021,46,Apartment in a building with fewer than five storeys,0,,4,2022-04-27,00000,0.4,1.8
2021S051235430650,35430650,Barrie,2021A00053543042,2021,47,Apartment in a building with five or more storeys,0,,4,2022-04-27,00000,0.4,1.8
2021S051235430650,35430650,Barrie,2021A00053543042,2021,228,"Private households income statistics, total",230,,7,2022-07-13,00000,0.4,1.8
2021S051235430650,35430650,Barrie,2021A00053543042,2021,229,Median total household income in 2020,108000,,7,2022-07-13,00000,0.4,1.8
2021S051235430650,35430650,Barrie,2021A00053543042,2021,237,"Private households income statistics, sample total",230,,7,2022-07-13,00000,0.4,1.8
2021S051235430650,35430650,Barrie,2021A00053543042,2021,238,Average total household income in 2020,120000,,7,2022-07-13,00000,0.4,1.8
2021S051235430650,35430650,Barrie,2021A00053543042,2021,1400,"Private households by tenure, total",230,,10,2022-09-21,00000,0.4,1.8
2021S051235430650,35430650,Barrie,2021A00053543042,2021,1402,Renter households,30,,10,2022-09-21,00000,0.4,1.8
2021S051235430650,35430650,Barrie,2021A00053543042,2021,2223,Population aged 15+ by labour force status,545,,15,2022-11-30,00000,0.4,1.8
2021S051235430650,35430650,Barrie,2021A00053543042,2021,2224,Population in the labour force,335,,15,2022-11-30,00000,0.4,1.8
2021S051235430650,35430650,Barrie,2021A00053543042,2021,2225,Employed population,295,,15,2022-11-30,00000,0.4,1.8
2021S051235430650,35430650,Barrie,2021A00053543042,2021,2226,Unemployed population,40,,15,2022-11-30,00000,0.4,1.8
2021S051235430650,35430650,Barrie,2021A00053543042,2021,2228,Participation rate,61.5,,15,2022-11-30,00000,0.4,1.8
2021S051235430650,35430650,Barrie,2021A00053543042,2021,2229,Employment rate,54.1,,15,2022-11-30,00000,0.4,1.8
2021S051235430650,35430650,Barrie,2021A00053543042,2021,2230,Unemployment rate,11.9,,15,2022-11-30,00000,0.4,1.8
2021S051235430651,35430651,Barrie,2021A00053543042,2021,1,"Population, 2021",431,,1,2022-02-09,00000,0.7,0
2021S051235430651,35430651,Barrie,2021A00053543042,2021,6,Population density per square kilometre,2209.1,,1,2022-02-09,00000,0.7,0
2021S051235430651,35430651,Barrie,2021A00053543042,2021,7,Land area in square kilometres,0.2,,1,2022-02-09,00000,0.7,0
2021S051235430651,35430651,Barrie,2021A00053543042,2021,14,Population aged 15 to 19,30,,2,2022-04-27,00000,0.7,0
2021S051235430651,35430651,Barrie,2021A00053543042,2021,15,Population aged 20 to 24,30,,2,2022-04-27,00000,0.7,0
2021S051235430651,35430651,Barrie,2021A00053543042,2021,16,Population aged 25 to 29,30,,2,2022-04-27,00000,0.7,0
2021S051235430651,35430651,Barrie,2021A00053543042,2021,17,Population aged 30 to 34,35,,2,2022-04-27,00000,0.7,0
2021S051235430651,35430651,Barrie,2021A00053543042,2021,41,"Occupied private dwellings by structural type, total",140,,4,2022-04-27,00000,0.7,0
2021S051235430651,35430651,Barrie,2021A00053543042,2021,45,Apartment or flat in a duplex,5,,4,2022-04-27,00000,0.7,0
2021S051235430651,35430651,Barrie,2021A00053543042,2021,46,Apartment in a building with fewer than five storeys,0,,4,2022-04-27,00000,0.7,0
